
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
             1        -148.869648881907      -0.085592782847         1            54       +0.469275207769       inf
             2        -148.873463937715      -0.003815055808         2           108       +0.080361215292       inf
             3        -148.874389638479      -0.000925700764         3           162       +0.026816483600       inf
             4        -148.874913826870      -0.000524188392         4           216       +0.013523264623       inf
             5        -148.875332914709      -0.000419087838         5           270       +0.012293238045       inf
             6        -148.877761788774      -0.002428874065         6           324       +0.009474324738       inf
             7        -148.879460706836      -0.001698918062         7           378       +0.006065991157       inf
             8        -148.879459697482      +0.000001009354         8           432       +0.004651807047       inf
             9        -148.879464676351      -0.000004978868         9           486       +0.001046336431       inf
            10        -148.879464886326      -0.000000209975        10           540       +0.000196389632       inf
            11        -148.879464888157      -0.000000001831        11           594       +0.000028380060       inf
            12        -148.879464888294      -0.000000000137        12           648       +0.000007620204       inf
            13        -148.879464888300      -0.000000000006        13           702       +0.000002813828       inf
            14        -148.879464888300      +0.000000000000        14           756       +0.000000443124       inf
            15        -148.879464888301      -0.000000000001        15           810       +0.000000099152       inf
            16        -148.879464888301      -0.000000000000        16           864       +0.000000025484       inf
            17        -148.879464888301      -0.000000000000        17           918       +0.000000013557       inf
            18        -148.879464888301      +0.000000000000        18           972       +0.000000009723       inf
            19        -148.879464888301      +0.000000000000        19          1026       +0.000000005241       inf
            20        -148.879464888302      -0.000000000000        20          1080       +0.000000001172       inf
            21        -148.879464888301      +0.000000000000        21          1134       +0.000000000301       inf
